price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
140,2,37,2.64,1,157
90,3,8,0.32,1,0
225,2,3,0.09,1,88
47,1,18,0.8,1,0
155,20,25,1.06,2,62
157,4,54,0.66,2,12
150,3,28,2.58,2,57
130,2,3,3,3,132
40,1,1,1,3,179
75,1,2,1.82,7,362
150,1,14,1.89,1,89
57,2,104,2.33,1,0
250,5,6,0.28,2,354
55,7,2,0.33,1,0
110,1,7,2.56,2,1
100,31,15,0.18,1,223
70,4,10,0.21,1,0
58,2,11,2.7,4,365
119,6,117,3.65,2,207
150,5,1,0.04,1,0
35,1,30,3.25,4,143
65,1,47,1.48,6,365
175,3,2,2,1,329
44,14,2,1.71,1,0
75,1,2,0.92,3,351
170,5,22,0.38,1,259
89,1,12,1.07,1,160
275,30,1,0.07,7,364
30,30,1,0.05,6,365
200,4,24,0.45,1,0
125,4,12,3.96,1,0
95,2,6,0.48,1,0
250,9,1,0.16,1,251
150,3,1,0.09,1,0
349,2,1,0.58,4,365
259,8,17,0.17,1,343
78,4,5,0.11,1,0
62,1,68,5.86,3,310
37,2,25,1.11,3,306
70,1,1,0.05,1,0
64,4,1,0.03,1,0
169,7,1,0.65,13,365
189,3,6,0.16,1,0
300,1,3,0.76,1,363
89,4,6,0.14,1,35
250,3,1,1,1,60
24,18,1,0.02,1,0
259,1,94,1.85,11,365
175,30,2,0.15,10,161
110,2,9,0.41,3,0
156,30,2,0.09,96,189
125,2,246,3.3,1,216
35,1,61,2.12,2,124
195,3,4,0.22,1,0
60,1,124,3.94,1,86
40,30,8,0.42,3,204
120,4,1,0.02,1,0
195,3,5,0.1,1,0
36,1,1,0.02,1,0
38,21,13,0.42,1,26
50,1,57,7.28,3,342
102,3,64,1.38,1,296
109,30,20,0.34,8,90
250,2,9,0.36,1,0
100,1,1,0.03,1,0
400,3,17,1.16,1,334
150,1,59,6.04,3,0
130,2,21,0.94,1,0
140,3,135,1.3,3,192
184,2,51,1.72,3,300
39,30,3,0.14,8,282
300,4,28,1.52,1,179
77,3,4,0.14,1,0
75,3,21,1.06,1,0
48,30,1,0.21,25,220
44,28,14,0.39,1,275
100,2,226,2.12,3,250
75,1,3,2.2,6,365
150,1,3,0.1,1,359
95,1,30,2.66,9,353
90,2,85,1.99,2,4
129,5,8,0.61,1,0
150,2,2,0.1,2,0
390,15,1,0.91,1,15
49,1,4,0.19,1,0
40,1,32,1.75,2,123
70,20,3,0.15,4,275
235,1,35,1.29,2,9
240,1,2,2,1,154
100,2,2,0.08,1,0
58,2,1,0.25,2,0
150,3,4,0.23,1,0
65,1,48,6.7,1,4
120,5,2,0.2,1,301
150,1,1,1,1,165
190,6,2,0.12,1,0
155,4,35,1.45,3,157
105,2,108,4.18,1,320
225,2,129,1.41,1,107
100,2,1,0.03,1,0
55,3,4,0.36,1,21
415,4,43,3.33,2,71
200,1,17,0.77,2,87
148,2,38,3.28,2,102
160,5,14,3.04,1,205
180,10,3,2.09,1,5
83,3,29,0.58,1,227
185,2,32,0.92,1,26
90,2,32,1.24,1,20
100,4,3,0.1,1,0
165,2,23,0.83,3,182
345,3,141,2.34,1,273
352,4,15,0.63,1,13
95,1,132,6.45,1,27
93,3,21,2.7,1,73
85,1,118,2.38,1,327
155,10,9,0.8,1,103
110,7,8,2.16,2,243
85,1,9,3.25,9,365
55,2,7,0.58,1,0
299,5,3,1.91,1,119
99,3,29,0.7,13,50
150,1,6,0.53,1,191
125,21,2,0.5,1,81
110,1,5,0.27,1,0
100,3,2,0.06,1,0
185,1,4,4,1,3
350,2,60,4.28,1,224
25,1,17,2.79,3,231
60,1,2,2,4,79
250,4,3,0.13,1,333
99,2,6,0.93,3,49
333,1,246,6.38,1,323
60,7,1,0.04,1,0
65,2,50,1.39,2,15
200,2,147,3.24,1,103
123,2,62,2.48,2,131
200,2,13,1.3,1,0
152,1,5,0.14,1,0
93,30,1,0.04,1,45
52,7,1,0.19,1,0
150,26,1,0.02,1,0
95,1,85,2.93,1,0
95,5,25,0.4,1,0
50,2,201,2.42,1,54
179,1,12,1.69,30,175
35,30,7,0.28,8,78
185,1,2,0.06,1,0
200,2,1,1,1,32
55,2,60,1.62,4,88
199,5,53,1.67,1,0
150,2,60,2.61,1,94
350,1,2,1.58,1,127
50,14,54,1.61,2,86
59,5,8,0.74,1,177
40,5,7,0.49,2,0
125,2,13,0.64,1,0
100,30,2,0.04,52,342
50,3,3,0.43,1,0
58,1,148,3.58,1,280
32,2,10,0.32,5,342
175,7,1,1,1,17
100,1,1,0.02,2,44
220,2,58,7.53,1,144
199,2,18,2.92,1,16
95,2,2,0.06,1,0
165,3,15,0.27,2,158
43,2,27,0.68,1,0
80,1,38,7.6,5,29
90,1,36,0.99,8,346
85,2,147,3.88,1,304
249,3,85,1.59,1,158
75,1,5,4.05,3,365
100,2,10,0.42,1,66
90,2,40,1.92,1,9
110,1,85,1.9,1,304
196,5,66,1.23,1,323
60,1,86,1.94,1,0
110,30,10,0.18,52,323
60,3,46,1.77,1,48
145,3,147,3.62,1,235
75,2,8,0.52,1,0
175,2,5,0.34,1,15
60,3,2,0.31,1,189
150,3,3,2.43,3,4
60,2,5,1.53,1,0
135,2,10,0.26,1,88
170,3,1,0.02,1,0
225,2,37,3.84,1,229
80,5,51,3.23,1,57
250,7,8,0.22,1,294
200,2,3,0.12,1,0
150,3,18,0.49,2,0
249,2,62,3.94,5,32
220,30,4,0.16,1,124
175,2,41,4.16,1,247
60,9,1,0.33,1,83
65,2,26,0.45,2,6
79,2,88,5.69,1,107
260,1,38,2.56,1,86
75,5,1,0.05,1,0
269,1,18,1.67,2,55
300,1,23,0.69,5,364
250,2,20,2.3,1,0
75,2,5,0.08,1,0
69,2,25,0.47,2,125
70,20,11,0.21,1,211
28,1,4,2.07,7,64
55,1,32,2.96,1,333
95,30,4,0.14,11,311
110,3,4,0.11,1,0
800,3,33,0.76,1,178
90,1,35,7.24,2,261
85,1,71,1.55,2,186
70,45,1,0.09,1,2
85,1,1,0.12,1,177
69,2,3,3,1,2
85,2,45,0.77,2,90
95,2,35,2.58,1,180
50,1,108,1.84,1,261
46,7,3,0.25,1,0
140,2,17,0.16,1,292
55,14,2,0.06,1,0
190,2,26,0.58,1,42
10,3,5,0.51,1,0
195,2,7,0.15,1,0
45,1,17,0.72,2,365
160,1,3,0.41,2,359
60,30,1,1,32,317
34,1,70,6.84,1,1
99,2,48,3.52,2,327
55,2,6,0.14,1,0
175,2,85,3.43,1,0
90,4,1,0.03,1,0
86,1,154,9.53,2,311
42,2,25,0.54,1,283
125,2,2,0.04,1,0
239,2,6,3.46,1,335
125,3,142,3.59,1,185
70,1,26,5.23,1,0
130,1,1,0.05,1,0
90,2,1,0.08,2,0
60,4,3,0.1,1,0
60,1,13,7.5,1,316
225,2,4,0.1,1,0
50,1,112,2.78,8,84
110,10,6,0.08,1,13
274,2,34,1.37,1,315
190,1,12,0.93,1,9
270,30,3,0.11,21,255
175,2,3,1.14,1,4
120,1,3,0.12,1,0
230,6,1,0.02,1,0
70,2,2,0.11,1,0
95,1,1,0.03,1,0
169,2,33,0.47,2,340
130,9,3,0.04,1,329
99,2,171,5.3,2,1
55,2,55,1.12,3,342
115,7,3,0.48,1,11
50,1,95,5.63,2,0
200,1,2,0.08,1,178
140,2,133,2.52,2,283
155,2,10,4.92,8,270
29,2,58,2.02,2,0
122,2,38,4.44,2,211
350,2,8,1.06,1,129
105,14,6,0.07,1,0
45,5,23,0.66,6,216
250,3,37,2.39,2,140
195,2,53,4.86,1,150
195,3,124,2.2,1,305
40,2,50,1.63,2,179
345,3,181,2.69,2,213
95,3,5,0.96,1,49
120,2,128,2.74,1,246
150,3,10,0.64,2,187
105,3,71,3.08,1,285
150,7,1,0.02,1,0
273,3,13,0.6,1,116
195,30,1,0.56,13,138
155,5,24,0.4,1,88
117,2,3,0.1,1,285
120,30,9,0.24,34,339
279,3,2,0.05,1,0
60,1,2,1.71,5,180
87,30,2,0.05,52,365
222,30,1,0.21,50,364
141,1,41,1.61,1,334
42,7,1,0.64,13,98
180,7,5,0.19,1,0
48,1,3,0.13,1,0
150,14,1,0.05,1,0
59,2,1,0.19,2,0
69,1,20,0.78,4,305
200,1,1,0.03,1,0
180,3,3,0.48,2,0
160,30,1,0.58,20,332
65,3,69,3.16,1,57
299,2,1,0.04,1,0
118,2,3,0.21,1,0
230,14,2,0.65,1,87
141,4,33,0.96,1,159
40,2,2,0.26,1,0
260,3,82,2.05,1,12
145,1,25,1.27,2,0
83,2,2,0.26,3,26
55,1,14,0.76,2,127
130,12,2,0.14,1,31
80,3,2,0.07,2,0
99,2,8,3.53,4,13
150,30,4,0.12,31,339
84,2,1,0.03,1,0
115,1,161,5.78,2,156
130,4,3,0.4,1,5
95,1,22,1.33,1,36
125,5,4,1.2,1,0
210,2,2,0.04,1,0
196,2,7,0.36,1,0
85,2,10,0.21,1,0
225,4,4,0.38,1,50
55,2,68,3.67,4,279
175,3,3,0.12,1,0
80,30,1,0.32,1,339
65,1,35,0.73,2,0
85,2,57,4.62,1,110
80,4,143,2.24,1,187
90,1,82,6.24,3,77
175,3,18,0.19,1,0
110,200,92,0.9,1,140
45,28,9,0.37,1,332
150,2,33,1.23,3,177
176,7,33,0.42,1,0
199,3,43,0.49,28,84
185,2,205,5.83,1,233
99,1,3,0.08,1,0
75,2,28,7.3,3,13
250,2,1,0.04,1,0
140,1,183,4.56,1,63
69,2,1,0.06,1,0
170,1,1,0.04,1,0
295,1,1,1,1,11
99,30,13,0.27,8,140
65,3,12,0.55,1,0
65,2,13,0.28,2,157
130,2,3,0.19,1,0
74,1,18,5.4,1,49
34,1,2,0.05,1,0
140,6,1,0.35,2,0
130,3,3,2.43,1,74
205,9,3,0.04,2,76
200,5,5,0.12,1,0
150,2,2,0.05,2,0
190,4,7,2.28,2,70
196,365,4,0.12,1,365
35,3,1,0.05,1,0
32,10,3,0.07,3,0
215,29,4,0.11,31,146
180,3,17,1.45,1,106
100,3,5,0.17,1,0
75,1,17,4.51,4,227
140,1,36,2.96,1,70
300,2,11,0.57,5,51
188,3,4,1.18,1,253
63,2,2,1.15,1,365
50,1,1,0.03,1,0
87,30,8,0.2,52,311
133,28,9,0.54,2,211
150,2,60,2.37,1,125
300,29,23,0.26,2,312
190,2,10,0.97,1,41
75,1,16,0.46,1,0
75,2,129,3.01,2,6
140,1,8,0.2,1,0
120,2,26,0.85,1,260
50,7,26,0.63,2,0
220,2,3,0.62,1,36
90,4,11,0.55,3,117
49,1,1,0.03,1,0
88,1,121,2.9,1,170
55,4,47,1.09,1,304
120,30,2,0.21,47,351
65,2,64,0.87,1,307
175,3,28,1.43,1,0
150,2,49,3.31,3,210
71,2,2,0.11,1,364
199,29,2,0.07,31,148
99,2,13,1.71,2,365
50,1,10,0.3,1,0
69,31,3,0.08,4,32
50,5,4,0.09,1,0
35,3,2,0.06,1,0
70,2,3,0.4,2,105
35,1,15,3.88,1,70
65,2,1,1,1,303
167,5,2,0.04,1,0
249,1,1,0.03,1,0
195,1,94,8.84,1,0
250,3,2,0.31,1,1
175,3,3,0.28,1,364
27,20,2,0.42,1,333
232,29,1,0.6,327,159
53,7,4,0.36,2,0
99,1,222,4.56,3,251
100,3,42,2.43,6,0
55,1,19,1.03,2,74
250,4,5,0.49,1,0
587,1,3,0.16,1,365
85,1,221,4.1,3,206
75,4,1,0.53,1,47
65,30,18,1.54,3,354
500,5,16,3.78,1,298
200,1,2,0.22,4,179
250,3,2,0.31,1,10
248,2,9,0.12,1,363
109,1,5,0.17,4,356
180,4,31,1.47,1,339
130,10,1,0.65,1,90
164,1,8,0.23,1,0
65,2,93,1.16,1,0
250,3,1,1,1,353
595,3,106,1.51,1,247
119,5,13,0.3,1,3
77,1,9,0.21,1,0
46,1,2,0.16,1,96
128,3,4,0.36,1,0
90,4,22,0.37,1,13
75,3,4,0.4,2,0
170,5,35,0.9,1,290
140,3,137,4.07,1,154
75,2,21,1.77,2,65
50,4,49,1.21,2,211
300,1,61,6.31,1,154
55,2,3,0.06,1,189
66,1,24,0.8,3,324
62,7,9,0.75,47,337
96,2,244,2.74,1,270
135,2,65,6.13,2,293
130,4,8,0.24,1,0
196,2,21,1.87,3,202
85,4,3,2.2,1,6
250,3,1,0.03,1,0
70,1,136,1.81,2,359
175,2,45,2.84,1,33
200,4,14,3.96,1,323
74,2,19,3.85,1,183
198,3,5,0.22,1,0
790,1,4,1.82,9,298
65,2,3,0.59,1,89
99,3,1,0.02,1,0
122,4,59,2.11,1,217
75,2,4,0.12,1,0
250,2,4,0.55,1,0
300,5,6,2.5,1,252
100,1,134,3.95,3,307
40,2,12,0.44,2,281
60,30,1,1,32,365
86,3,3,0.09,1,0
135,2,16,1.21,1,358
200,2,20,1.47,1,53
135,7,9,0.25,1,7
113,3,131,4.21,3,12
349,1,26,0.36,2,365
325,2,8,2.38,5,342
124,2,97,2.45,1,104
110,2,7,0.79,1,89
110,10,58,0.92,1,282
70,1,2,0.17,1,0
110,3,2,0.05,1,0
2500,40,17,0.91,1,0
3000,7,1,1,1,325
57,1,120,5.37,2,56
93,5,2,2,1,0
60,87,4,0.14,1,173
584,5,89,2.62,1,179
89,14,4,0.11,2,343
106,2,8,1.53,1,0
369,6,1,1,2,29
50,1,12,9.47,4,233
299,3,4,0.31,1,318
50,2,5,0.56,1,0
260,5,2,0.24,1,145
95,1,182,3.82,2,0
145,2,4,0.09,1,0
189,3,8,0.88,1,358
87,30,4,0.07,52,343
94,2,129,2.22,1,188
80,1,4,0.28,2,78
69,1,63,2.34,4,29
200,2,37,2.51,1,8
85,3,2,0.32,1,89
48,3,67,1.95,1,70
89,2,43,2.74,1,10
111,1,136,5.86,1,51
150,1,2,2,1,83
225,3,76,1.24,3,275
161,3,3,0.16,1,0
140,7,3,0.13,1,0
154,2,4,0.59,1,12
175,27,2,0.06,1,310
45,1,7,7,1,68
175,4,2,0.07,1,0
70,2,14,1.52,2,3
90,20,12,0.28,1,23
250,5,4,0.55,1,0
260,2,64,2.36,1,131
108,3,3,0.13,1,0
199,2,49,1.81,3,147
35,1,65,10.05,5,85
65,3,5,0.14,2,0
98,1,201,4.37,1,293
50,1,84,2.1,4,302
65,1,70,8.43,1,300
160,3,38,1.99,1,2
220,2,79,1.62,1,143
53,1,59,1.9,1,188
75,2,7,4.2,1,17
69,2,21,1.2,2,28
45,14,70,2.38,5,281
80,4,48,0.56,1,96
60,2,15,0.25,3,188
2000,2,3,0.38,6,364
210,28,4,0.15,1,95
99,5,13,2.48,3,8
110,1,37,0.45,1,365
85,2,5,0.16,1,0
285,5,29,3.57,1,74
80,28,1,0.1,1,365
38,2,15,0.73,1,0
99,3,9,0.23,1,42
70,2,16,2.24,1,4
90,30,3,0.05,52,358
73,2,31,1.83,2,39
44,5,32,1.39,1,286
189,3,85,1.88,1,330
225,3,95,1.51,2,112
300,1,5,0.09,1,0
70,1,3,0.08,1,0
375,7,5,0.14,1,0
139,3,15,1.01,1,338
89,2,1,0.04,1,365
60,1,2,0.04,1,0
175,1,33,1.96,1,0
135,3,10,0.23,1,0
300,30,10,0.19,9,331
250,2,2,0.1,2,0
75,3,13,0.78,1,1
100,2,6,0.39,1,0
200,6,5,0.24,2,17
55,1,1,0.3,1,0
100,1,11,2.89,1,124
82,1,56,6.41,1,288
163,30,4,0.17,14,332
50,2,6,1.78,1,2
80,5,1,0.02,1,0
75,1,2,0.11,1,0
50,7,1,0.52,2,365
60,3,3,2.31,2,322
65,1,98,2.87,5,180
199,3,1,0.05,1,17
45,7,1,0.06,1,17
85,5,1,0.1,3,0
209,3,12,2.2,5,107
110,3,18,1.96,2,234
180,2,1,0.03,1,0
299,1,4,0.35,3,365
299,3,57,2.57,1,116
235,1,2,0.04,1,0
225,1,5,0.13,1,0
195,2,6,0.53,1,0
250,2,103,1.87,1,315
58,1,4,0.85,2,365
169,1,2,2,1,53
100,3,1,0.05,2,0
89,1,25,10.56,3,160
78,1,4,0.41,2,363
129,1,3,1.48,20,358
110,3,7,0.22,1,0
50,1,44,4.57,1,155
85,2,123,4.09,1,64
100,5,14,0.33,1,1
132,1,2,2,1,46
275,3,51,1.14,1,0
60,2,7,2.63,5,305
200,3,26,2.14,1,67
65,2,5,0.13,1,0
81,5,9,0.97,1,110
65,1,1,0.03,1,0
175,2,1,0.12,2,0
160,2,9,0.56,1,157
70,3,16,0.26,1,209
90,12,1,0.03,2,0
50,30,1,0.17,6,304
67,2,28,1.04,2,132
75,2,38,1.38,3,363
45,1,112,2.99,1,244
185,7,10,0.87,1,125
113,3,6,0.46,1,1
90,1,4,0.88,1,0
289,2,180,4.13,1,253
95,2,16,1.62,1,140
48,1,35,3.79,5,79
250,5,3,1.73,1,263
60,1,25,2.23,9,336
100,2,35,2.75,1,0
109,5,17,3.89,1,35
31,1,2,1.62,5,73
165,3,5,0.74,1,0
89,4,168,1.41,3,340
51,1,194,7.66,2,7
50,2,20,0.47,5,347
80,3,2,0.04,1,0
50,1,4,4,1,82
100,15,5,0.11,1,0
70,2,4,0.64,1,89
228,1,1,0.03,1,0
269,1,4,4,1,122
86,4,55,1.62,1,17
200,2,12,0.52,1,0
190,5,18,0.57,1,5
38,1,5,0.82,6,7
65,1,9,0.24,1,343
100,2,107,4.12,5,344
70,6,18,0.47,1,203
100,4,4,0.11,1,0
60,1,9,0.46,1,0
150,7,1,0.03,1,0
35,2,191,4,3,24
75,2,25,0.4,1,365
86,4,2,0.06,1,0
135,3,23,1.02,2,4
99,2,12,1.38,1,6
119,7,6,0.43,1,201
41,1,1,0.02,1,0
120,2,13,0.37,1,0
65,30,11,0.31,2,0
190,1,1,1,2,311
94,2,272,3.18,3,22
102,1,44,1.3,1,38
50,2,7,0.23,1,155
200,2,38,2.73,1,363
70,1,1,0.03,1,0
60,1,1,0.02,1,0
165,2,19,2.3,1,102
79,1,259,3.93,1,2
55,1,1,0.34,2,0
120,2,209,4.07,1,283
220,2,1,0.05,1,0
110,7,2,0.2,1,0
75,1,9,5.19,5,84
79,2,1,0.05,1,0
100,1,62,6,2,77
155,31,8,0.17,1,331
65,2,5,0.11,3,4
44,5,1,1,1,192
85,1,177,7.05,3,49
120,1,1,0.02,4,0
99,4,74,1.93,1,261
130,30,3,0.16,50,364
95,7,25,0.3,1,359
33,3,2,0.06,1,0
395,1,1,1,1,333
60,1,73,3.65,4,88
119,1,9,0.46,17,364
120,1,8,6.86,1,272
90,3,1,0.09,1,0
100,2,1,0.03,2,292
88,2,13,0.37,1,0
290,3,11,1.02,1,85
150,7,1,0.02,1,0
55,10,1,0.14,1,48
170,1,47,0.58,2,17
65,1,4,0.59,2,341
43,5,1,0.15,1,0
28,1,29,3.09,7,89
75,1,77,1.4,7,340
89,2,219,2.63,2,319
275,4,5,0.7,1,77
90,8,1,0.15,1,156
42,1,10,0.54,1,0
190,1,5,0.29,1,0
170,2,94,2.99,1,78
129,4,4,0.11,1,0
199,2,25,0.44,1,5
225,3,5,0.53,1,0
110,1,133,2.85,1,267
100,6,5,0.14,1,25
59,5,4,1.74,2,10
140,1,1,0.04,1,0
160,1,7,0.19,1,0
75,1,5,0.59,1,55
110,1,38,0.63,1,157
369,1,2,0.22,3,365
200,90,91,1.59,1,365
90,1,14,3.59,5,63
75,2,8,1.3,1,0
150,3,15,3.75,1,35
50,4,2,0.16,2,0
40,30,84,2.53,4,284
125,2,117,1.99,1,270
189,1,3,3,1,122
28,1,21,6.49,1,14
195,2,3,0.06,1,0
139,1,3,0.07,1,0
86,6,34,0.93,3,90
80,2,129,2.24,1,346
120,5,6,0.1,1,0
95,30,24,0.25,8,358
240,3,2,0.04,1,0
175,60,28,0.7,1,126
175,2,42,3.77,1,238
175,2,1,0.11,1,365
25,2,1,0.71,3,167
45,3,3,0.41,1,179
180,3,2,0.21,1,15
50,2,44,4.85,1,271
45,1,94,3.48,2,62
135,3,4,0.09,1,0
199,3,16,0.81,1,3
239,5,2,0.05,3,30
87,1,132,3.11,2,211
64,3,10,0.27,1,0
102,10,8,0.2,1,277
216,2,9,2.23,327,332
55,2,19,2.04,3,138
58,2,2,0.05,1,0
249,2,1,1,1,17
175,2,16,0.77,1,2
33,1,52,0.87,2,255
125,1,2,0.05,1,0
650,3,130,3.11,2,235
150,2,21,0.29,3,3
100,4,4,0.13,1,157
65,1,1,0.79,1,80
70,2,23,2.95,3,293
200,5,2,0.23,1,15
288,5,2,0.06,1,0
175,2,54,3.72,1,0
100,1,15,0.34,2,0
60,2,2,0.04,2,83
47,4,2,0.05,1,0
39,5,89,2.34,4,0
59,1,2,0.04,1,0
85,1,27,5.7,1,0
65,10,2,0.95,1,42
485,4,1,0.05,1,0
160,1,145,1.76,2,257
150,3,21,0.46,2,349
40,2,17,2.7,1,107
325,3,4,0.11,1,0
139,3,26,0.6,1,0
219,1,5,5,1,173
150,30,1,0.05,50,364
89,3,54,1.26,1,331
85,1,1,0.05,1,0
200,2,53,2.51,2,223
64,1,4,0.26,1,0
20,10,3,0.57,2,17
57,3,8,3.81,3,9
255,2,1,0.03,1,0
35,7,2,0.09,1,0
60,1,26,2.36,1,365
170,3,37,1.18,1,258
60,60,34,0.79,1,189
85,1,9,0.24,1,0
70,1,1,0.02,2,0
649,3,1,0.03,12,365
180,30,9,0.79,2,130
100,1,198,10.15,2,156
135,30,25,0.28,1,249
275,2,29,2.13,1,138
150,30,11,4.65,1,40
239,5,147,3.19,1,142
175,2,3,0.31,2,0
175,1,3,3,1,87
200,6,1,0.03,1,0
65,2,22,1.64,34,289
80,5,15,0.93,1,46
80,1,28,0.72,1,364
150,2,51,2.65,2,231
100,2,2,0.27,1,0
60,2,56,1.83,2,42
275,2,9,0.24,1,0
109,1,228,6.97,3,326
100,20,10,0.42,1,45
112,3,1,0.02,1,0
95,30,1,0.09,2,311
85,4,4,0.72,1,8
145,6,49,2.38,1,76
180,2,67,2.88,1,289
119,2,2,0.15,1,0
275,30,9,0.14,1,342
400,2,3,0.21,2,0
62,6,62,1.27,1,317
350,4,33,1.2,1,346
109,5,2,0.04,2,0
70,4,18,0.22,4,189
135,3,134,3.18,1,241
90,14,7,0.16,1,0
50,2,167,4.73,2,162
169,2,80,3.58,6,241
170,2,9,0.26,3,0
35,2,11,0.81,2,11
120,1,49,2.4,1,276
259,1,2,0.04,1,0
55,1,115,4.64,6,164
130,50,56,0.58,1,56
65,4,48,1.38,3,0
81,3,47,1.06,1,287
45,7,2,0.1,1,0
102,2,24,2.76,2,288
279,5,2,2,1,346
69,3,19,0.31,1,238
48,15,4,0.56,11,341
105,1,102,1.79,1,362
195,1,1,1,1,36
60,2,3,0.47,3,153
250,28,11,0.48,1,151
100,2,4,1.82,4,314
244,29,1,0.3,96,240
88,4,6,0.24,1,1
350,4,18,0.42,1,0
60,1,40,1.02,2,0
170,3,8,0.36,1,111
48,1,39,4.21,5,84
895,1,66,1.18,1,365
50,7,3,0.06,1,31
36,2,37,1.03,2,228
135,5,63,1.6,2,281
400,3,1,0.02,1,0
125,3,93,2.78,1,13
75,2,33,3.45,1,20
190,2,1,0.04,1,0
90,2,1,0.09,3,0
200,5,1,0.16,1,0
90,7,1,0.02,1,124
150,1,12,0.39,1,0
56,2,1,1,1,179
55,10,1,0.04,1,0
45,3,58,2.53,3,97
170,2,154,5.2,1,235
190,2,3,0.36,1,0
60,1,109,1.52,1,2
40,1,3,0.08,1,0
500,2,1,0.03,3,179
50,2,77,2.3,1,3
50,1,5,0.13,2,0
350,1,18,5.74,1,82
70,2,3,1.22,2,128
105,3,118,1.05,2,9
49,3,20,2.64,1,164
265,4,123,3.25,1,285
50,21,1,0.86,1,10
275,2,136,3.4,1,170
325,5,89,0.94,1,153
40,2,20,3.8,1,6
75,1,48,0.77,4,355
150,4,7,0.69,1,0
95,1,240,9.66,2,253
145,2,3,0.07,1,0
191,2,66,0.94,1,347
205,30,1,0.05,87,365
80,7,1,0.16,1,219
50,30,3,0.08,1,0
120,2,15,0.24,1,61
300,4,11,0.44,1,94
109,1,2,0.44,6,0
60,2,25,1.54,7,14
105,1,67,5.98,12,241
250,5,5,0.07,1,358
159,1,3,0.1,1,0
150,1,1,0.67,2,157
71,2,7,1.96,1,0
525,1,21,1.13,4,292
153,1,7,0.7,17,234
120,5,125,2.83,2,177
150,1,36,3.23,1,29
65,1,49,1.31,4,329
65,30,10,1.18,4,328
35,1,3,0.06,1,0
350,5,5,0.21,1,54
149,2,8,1,1,0
80,1,5,0.24,2,0
45,3,13,5.42,2,80
205,3,102,3.36,1,117
145,3,100,2.62,1,0
85,5,1,0.58,2,51
70,1,1,0.04,2,115
165,2,2,1.62,1,21
175,30,58,0.81,1,220
38,5,13,0.25,1,0
60,2,1,0.16,1,363
130,5,36,0.53,1,224
229,1,3,0.53,1,362
65,10,21,0.38,4,0
43,20,6,0.69,2,104
40,2,4,3.64,1,55
99,3,34,2.58,2,119
200,2,102,3.5,3,101
174,2,6,2.12,1,5
96,2,14,4.62,1,50
1000,5,1,0.02,1,0
90,2,4,1.54,1,146
60,3,1,1,3,72
130,3,10,0.39,1,89
60,7,1,0.03,2,0
95,1,1,0.02,1,0
1250,1,1,0.06,1,173
99,2,21,0.36,1,268
199,5,6,0.44,1,11
119,1,1,0.42,5,0
255,30,5,0.26,25,254
289,3,5,0.53,1,365
120,6,5,0.09,1,0
130,2,5,0.15,2,0
165,2,3,0.08,1,0
45,30,2,0.04,1,0
95,5,206,2.89,1,252
139,7,1,0.05,1,0
60,1,3,3,1,50
165,2,4,0.63,1,310
175,4,7,0.21,1,365
110,6,3,0.98,1,25
400,3,2,0.06,1,0
125,3,75,3.27,1,316
40,2,3,0.27,1,0
195,365,10,0.12,1,0
91,1,2,0.13,3,0
100,8,3,0.48,1,7
180,2,24,0.77,1,0
150,3,40,1.08,1,327
50,1,5,0.43,1,0
250,3,7,0.71,1,17
170,4,43,0.77,1,275
80,30,5,0.42,8,161
195,2,3,0.13,1,0
135,2,7,0.36,1,2
89,2,23,2,1,103
65,2,22,4.23,3,156
49,2,39,1.53,2,84
60,1,22,1.37,7,73
140,2,19,0.4,1,1
97,1,2,2,1,92
200,4,25,1.12,1,352
599,2,3,0.24,1,0
79,3,152,1.6,3,192
120,30,131,2.29,1,336
50,30,1,0.04,9,333
140,4,18,0.39,1,30
45,8,3,0.12,1,0
159,2,29,4.39,1,209
250,5,1,0.14,1,0
40,1,48,1.24,1,1
149,2,7,2.63,1,163
350,2,7,2.63,1,82
125,3,25,4.55,1,139
85,2,24,0.63,1,318
149,3,1,0.02,1,0
75,1,23,2.74,3,8
69,7,48,0.61,1,235
150,5,5,0.66,4,272
175,2,1,0.03,1,0
59,2,87,2.31,3,0
89,1,5,3.49,1,97
120,150,10,0.46,1,331
100,7,4,0.17,1,0
120,12,11,0.43,1,0
99,30,13,0.34,9,289
99,10,2,0.59,1,188
59,5,26,0.61,1,0
195,5,12,7.83,1,6
95,2,186,3.75,2,62
60,1,7,0.59,1,129
89,1,12,7.2,1,288
46,3,1,1,3,81
174,2,1,1,1,5
60,1,2,0.11,3,0
180,2,3,0.98,1,0
88,1,71,5.37,2,51
72,2,36,0.61,7,71
319,2,49,1.32,1,82
100,3,5,0.24,1,0
245,3,50,2.51,1,40
45,3,1,0.03,2,0
65,2,9,0.56,1,0
79,2,15,0.16,1,0
89,1,146,3.85,6,252
78,18,11,0.2,1,0
60,8,7,0.36,1,8
140,2,54,0.56,1,221
129,1,11,1.37,3,177
99,5,1,0.07,1,0
80,2,15,0.41,1,0
67,2,27,1.55,10,359
110,2,3,0.38,1,176
65,1,52,1.7,3,179
45,1,2,0.6,2,22
160,2,83,1.01,1,105
149,30,2,0.06,52,358
50,2,13,0.22,3,282
